key,name,typeclass,desc
room_intro,欢迎！,ROOM,点击“开始游戏”，展开一段特别的旅程吧！
room_colorfulworld_hole,电缆井,ROOM,四周一片漆黑，只有头顶的天空透着一点灰暗的光。周围的空间的很小，一伸手就能触碰到坚硬的四壁，在脚下能感觉到有几捆塑料线，这应该是个电缆井吧。我怎么会在这里呢？
room_colorfulworld_alley,小巷,ROOM,这是一条狭长的小巷，没有路灯，显得很昏暗。它一端是死路，另一端一直向前延伸出去，应该可以通向大路吧。
room_colorfulworld_street,大街,ROOM,这是游乐园的“缤纷天地”购物街，沿街两侧有整排的商店。这原本喧闹繁华的地方，现在却是一片死寂。商店的门窗都被打烂了，地上、墙上有好几片暗红色的血迹，在街角还有一个人倒在血泊中！
room_colorfulworld_conv_store,便利店,ROOM,便利店门歪歪扭扭地倒在一旁，店里一片狼藉，货架东倒西歪地躺着，货物全都散落在地上，大多数已经被踩烂了。
room_colorfulworld_storeroom,储藏室,ROOM,储藏室的空间不大，一侧的货架上整齐地摆放着一箱箱货物。
room_colorfulworld_gift_shop,礼品店,ROOM,礼品店里空无一人，橱窗全碎了，货物撒落得到处都是，门框边上还留着几个血手印。
room_colorfulworld_photo_studio,照相馆,ROOM,原本照相馆里有很多人排队和卡通人偶合影，现在里面已是没有了人影，卡通人偶都倒落在地上，已经残破不全，暗淡的光线从窗口斜射进来，照在它们扭曲的身体上，显得狰狞可怖。
room_colorfulworld_printing_room,冲印室,ROOM,冲印室里摆放着两台冲印机，一旁的柜子里放着各种不知名的药水。
room_colorfulworld_to_gate,通向大门,ROOM,这一条丁字路，西面是游乐园大门，东面是“缤纷天地”，南面是度假村。原本熙熙攘攘的街道现在连一点声音都没有。道路旁的灌木丛里似乎有几个黑影，看不清到底是什么东西，但感觉他们好像在偷偷地窥视着你。
room_gate_fountain,喷泉,ROOM,喷泉已经不再流动了，在水池中漂浮着一个人，他面朝下躺着，应该已经死了。在喷泉顶上有两只乌鸦在呱呱地叫着，发觉你走近之后它们突然停止了声响，一起转过头看着你，不知道在盘算着些什么。
room_gate_gate,游乐园大门,ROOM,从喷泉旁绕过，远远地就能看到大门已经被路障堵死了，还有不少机器人守卫着。这太危险了！趁还没有被发现，赶快回去吧！
room_village_gate,度假村大门,ROOM,前往度假村的道路上散落着不少杂物，还有一些衣服和鞋子。度假村的大门被撞到在地上，离大门不远处拦起了一道路障，有不少机器人在看守。从度假村方向远远传来了一些吵闹和哭喊声，哪里发生了什么事？
room_village_squar,小树林,ROOM,躲在小树林中向度假村望去，可以看到广场上有一群人被机器人看押着。看来有不少游客被关押到这里。
room_colorfulworld_to_piratebay,道路,ROOM,这条路连接着海盗湾和缤纷天地。,,,,
object_alley_box_01,木箱,WORLD_OBJECT,一个空的木箱，里面什么都没有。
object_colorfulworld_hole,电缆井,WORLD_OBJECT,这是我掉进去过的电缆井，我可不想再进去了！
creator_alley_pile,杂物堆,WORLD_OBJECT_CREATOR,在小巷的尽头杂乱地堆着一些木棍和木板。
creator_street_body,尸体,WORLD_OBJECT_CREATOR,这个人身穿着保安制服，面朝下躺着，周围流了很多血，他的身体冰凉，应该已经死了。
creator_storeroom_box,纸箱,WORLD_OBJECT_CREATOR,一个纸箱，好像是放食品的。
creator_photo_studio_box,小箱子,WORLD_OBJECT_CREATOR,一个小箱子，像是医药箱。
npc_wu,保安,WORLD_NPC,"这个人身材高大，但身上受了伤，活动有些不灵活。"
npc_stranger,陌生人,WORLD_MONSTER,"这个人身材高大，体格强健，双手紧握着拳头，眼睛紧紧地盯着你，时刻会向你扑过来。"
npc_doll,人偶,WORLD_MONSTER,"这个人偶斜靠在墙上，一双大眼睛好像正在盯着你看。你越瞧它越不爽，真想打它一顿！"
exit_game_start,开始游戏,EXIT,欢迎您进入游戏！
exit_colorfulworld_alley_1,爬出去,EXIT,电缆井不深，应该可以爬出去。
exit_colorfulworld_street_1,大街,LOCKED_EXIT,广告板被撬动了，露出了一条通往外面的缝，正好可以让一个人通过。
exit_colorfulworld_alley_2,小巷,EXIT,进入街旁昏暗的小巷。
exit_colorfulworld_conv_store_1,,EXIT,
exit_colorfulworld_street_2,,EXIT,
exit_colorfulworld_storeroom_1,储藏室,EXIT,在便利店的一角有一扇门，上面写着“储藏室”。
exit_colorfulworld_conv_store_2,便利店,EXIT,离开储藏室。
exit_colorfulworld_gift_shop_1,礼品店,EXIT,街旁的一家礼品店，橱窗都被打碎了，玻璃散落得到处都是。,进入
exit_colorfulworld_street_3,大街,EXIT,离开礼品店，回到大街上。
exit_colorfulworld_photo_studio_1,照相馆,EXIT,这是一家照相馆，平时等候和卡通人物合影的人会在这里排起长龙，现在一个人都没有了。
exit_colorfulworld_street_4,大街,EXIT,离开照相馆，回到大街上。
exit_colorfulworld_printing_room_1,冲印室,EXIT,照相馆大厅后面是一间冲印室。
exit_colorfulworld_photo_studio_2,照相馆,EXIT,离开冲印室。
exit_colorfulworld_gate_path,游乐园大门,LOCKED_EXIT,前往游乐园大门和度假村。
exit_path_colorfulworld_gate,缤纷天地,EXIT,前往游乐园的缤纷天地。
exit_path_gate,游乐园大门,EXIT,前往游乐园大门。
exit_path_colorfulworld_1,缤纷天地,EXIT,前往缤纷天地。
exit_path_village,度假村,EXIT,前往度假村。
exit_path_colorfulworld_2,缤纷天地,EXIT,前往度假村。
exit_gate_gate,游乐园大门,EXIT,前往游乐园大门。
exit_gate_fountain,喷水池,EXIT,前往喷水池。
area_intro,起始界面,AREA,
area_hole,未知区域,AREA,
area_park,公园,AREA,
skill_normal_hit,普通攻击,SKILL,攻击敌人，伤害一般。
skill_normal_heal,普通治疗,SKILL,治疗自己，效果一般。
skill_normal_hp,强壮体魄,SKILL,被动技能，提升最大生命值。
skill_dunt,重击,SKILL,攻击敌人，造成大量伤害。
skill_escape,逃跑,SKILL,逃之夭夭。
book_dunt,重击之术,SKILL_BOOK,"记录了重击之术的奥秘。使用之后可以学会重击技能。"
shop_fruits,买水果,SHOP,我这里有一些水果。
shop_goods_apple,,SHOP_GOODS,
quest_find_survivor,寻找幸存者,QUEST,搜索周围，看看能不能找到幸存者。
quest_find_guardhouse_key,取得警卫室钥匙,QUEST,帮助保安找到警卫室的钥匙。
quest_find_binder,找到绷带,QUEST,把绷带交给保安，在各个房间中多找找吧。
quest_find_screws,寻找螺丝,QUEST,把2个螺丝交给保安，在机器人身上能找到螺丝。
quest_kill_robots,杀死机器人,QUEST,杀死3个机器人！
food_bread,面包,FOOD,面包可以帮你恢复少许生命。
food_apple,苹果,FOOD,苹果可以帮你恢复少许能量。
weapon_wood_stick,木棍,EQUIPMENT,这条木棍不粗，但感觉挺结实的。
obj_money,金钱,COMMON_OBJECT,有钱能使鬼推磨。
obj_guardhouse_key,钥匙,COMMON_OBJECT,钥匙圈上扣着一串铜质的钥匙，它们是用来开什么门的呢？
obj_binder,绷带,COMMON_OBJECT,一卷绷带，还没拆封过，可以帮助止血。
obj_screw,螺丝,COMMON_OBJECT,一颗螺丝，能派什么用处呢？
player,玩家,PLAYER_CHARACTER,这是玩家。
char_robot_mob_A,机器人A,COMMON_MONSTER,这是个A型机器人。
char_robot_mob_B,机器人B,COMMON_MONSTER,这是个B型机器人。